brush,diameter,path,length,variant,repeat,contacts,pages,pixel_contact_tests,cpu_prepare_ms,cpu_submit_ms,gpu_ms
Pencil,2048,backlog,4096,merged,0,1,225,14745600,0.060730,0.603958,9.673594
Pencil,2048,backlog,4096,contact,0,17,225,99680256,0.130469,0.197761,109.961039
Pencil,2048,backlog,4096,simple,0,17,225,99680256,0.130469,0.195053,73.771248
Pencil,2048,backlog,4096,contact,1,17,225,99680256,0.130469,0.213333,109.371716
Pencil,2048,backlog,4096,simple,1,17,225,99680256,0.130469,0.197865,18.273541
Pencil,2048,backlog,4096,merged,1,1,225,14745600,0.060730,0.618698,9.691510
Pencil,2048,backlog,4096,simple,2,17,225,99680256,0.130469,0.546927,18.293229
Pencil,2048,backlog,4096,merged,2,1,225,14745600,0.060730,0.537240,9.691354
Pencil,2048,backlog,4096,contact,2,17,225,99680256,0.130469,0.537812,45.941093
Pencil,2048,backlog,4096,merged,3,1,225,14745600,0.060730,0.679635,9.671875
Pencil,2048,backlog,4096,contact,3,17,225,99680256,0.130469,0.171979,45.957082
Pencil,2048,backlog,4096,simple,3,17,225,99680256,0.130469,0.566302,18.293020
Pencil,2048,backlog,4096,contact,4,17,225,99680256,0.130469,0.165469,45.963332
Pencil,2048,backlog,4096,simple,4,17,225,99680256,0.130469,0.663229,18.277708
Pencil,2048,backlog,4096,merged,4,1,225,14745600,0.060730,0.154219,9.677396
Pencil,2048,backlog,4096,simple,5,17,225,99680256,0.130469,0.931458,18.298437
Pencil,2048,backlog,4096,merged,5,1,225,14745600,0.060730,0.356302,9.691146
Pencil,2048,backlog,4096,contact,5,17,225,99680256,0.130469,0.739896,45.960988
Pencil,2048,backlog,4096,merged,6,1,225,14745600,0.060730,0.636511,9.667448
Pencil,2048,backlog,4096,contact,6,17,225,99680256,0.130469,0.152135,45.950416
Pencil,2048,backlog,4096,simple,6,17,225,99680256,0.130469,0.880469,18.285104
Pencil,2048,backlog,4096,contact,7,17,225,99680256,0.130469,0.149636,45.943124
Pencil,2048,backlog,4096,simple,7,17,225,99680256,0.130469,0.917500,18.280989
Pencil,2048,backlog,4096,merged,7,1,225,14745600,0.060730,0.151407,9.673646
Pencil,2048,backlog,4096,simple,8,17,225,99680256,0.130469,0.639687,18.294062
Pencil,2048,backlog,4096,merged,8,1,225,14745600,0.060730,0.344740,9.672760
Pencil,2048,backlog,4096,contact,8,17,225,99680256,0.130469,0.655468,45.946770
Pencil,2048,backlog,4096,merged,9,1,225,14745600,0.060730,0.383803,9.680364
Pencil,2048,backlog,4096,contact,9,17,225,99680256,0.130469,0.614479,45.943332
Pencil,2048,backlog,4096,simple,9,17,225,99680256,0.130469,0.597553,18.274427
Pencil,2048,backlog,4096,contact,10,17,225,99680256,0.130469,0.706666,45.948853
Pencil,2048,backlog,4096,simple,10,17,225,99680256,0.130469,0.670729,18.277916
Pencil,2048,backlog,4096,merged,10,1,225,14745600,0.060730,0.630104,9.680989
Pencil,2048,backlog,4096,simple,11,17,225,99680256,0.130469,0.627761,18.270364
Pencil,2048,backlog,4096,merged,11,1,225,14745600,0.060730,0.586042,9.689479
Pencil,2048,backlog,4096,contact,11,17,225,99680256,0.130469,0.622500,45.941718
Pencil,2048,backlog,4096,merged,12,1,225,14745600,0.060730,0.598125,9.701406
Pencil,2048,backlog,4096,contact,12,17,225,99680256,0.130469,0.759896,45.952968
Pencil,2048,backlog,4096,simple,12,17,225,99680256,0.130469,0.808490,18.277135
Pencil,2048,backlog,4096,contact,13,17,225,99680256,0.130469,0.850573,45.947447
Pencil,2048,backlog,4096,simple,13,17,225,99680256,0.130469,0.830416,18.291562
Pencil,2048,backlog,4096,merged,13,1,225,14745600,0.060730,0.597084,9.687448
Pencil,2048,backlog,4096,simple,14,17,225,99680256,0.130469,0.633958,18.283125
Pencil,2048,backlog,4096,merged,14,1,225,14745600,0.060730,0.789948,9.666198
Pencil,2048,backlog,4096,contact,14,17,225,99680256,0.130469,0.627968,45.944113
Pencil,2048,backlog,4096,merged,15,1,225,14745600,0.060730,0.628125,9.683854
Pencil,2048,backlog,4096,contact,15,17,225,99680256,0.130469,0.659063,45.966770
Pencil,2048,backlog,4096,simple,15,17,225,99680256,0.130469,0.743959,18.283437
Pencil,2048,backlog,4096,contact,16,17,225,99680256,0.130469,0.902187,45.943436
Pencil,2048,backlog,4096,simple,16,17,225,99680256,0.130469,0.657239,18.282447
Pencil,2048,backlog,4096,merged,16,1,225,14745600,0.060730,0.634843,9.682291
Pencil,2048,backlog,4096,simple,17,17,225,99680256,0.130469,0.618958,18.291875
Pencil,2048,backlog,4096,merged,17,1,225,14745600,0.060730,0.631666,9.679062
Pencil,2048,backlog,4096,contact,17,17,225,99680256,0.130469,0.627916,45.943436
Pencil,2048,backlog,4096,merged,18,1,225,14745600,0.060730,0.584791,9.689166
Pencil,2048,backlog,4096,contact,18,17,225,99680256,0.130469,0.748334,45.946457
Pencil,2048,backlog,4096,simple,18,17,225,99680256,0.130469,0.834688,18.287500
Pencil,2048,backlog,4096,contact,19,17,225,99680256,0.130469,0.637761,45.940936
Pencil,2048,backlog,4096,simple,19,17,225,99680256,0.130469,0.643282,18.284427
Pencil,2048,backlog,4096,merged,19,1,225,14745600,0.060730,0.630885,9.677448
Pencil,2048,backlog,4096,simple,20,17,225,99680256,0.130469,0.640156,18.286510
Pencil,2048,backlog,4096,merged,20,1,225,14745600,0.060730,0.836094,9.679479
Pencil,2048,backlog,4096,contact,20,17,225,99680256,0.130469,0.569427,45.942863
Pencil,2048,backlog,4096,merged,21,1,225,14745600,0.060730,0.781927,9.678489
Pencil,2048,backlog,4096,contact,21,17,225,99680256,0.130469,0.556667,45.957968
Pencil,2048,backlog,4096,simple,21,17,225,99680256,0.130469,0.781615,18.288854
Pencil,2048,backlog,4096,contact,22,17,225,99680256,0.130469,0.644375,45.948697
Pencil,2048,backlog,4096,simple,22,17,225,99680256,0.130469,0.632396,18.296979
Pencil,2048,backlog,4096,merged,22,1,225,14745600,0.060730,0.644635,9.671406
Pencil,2048,backlog,4096,simple,23,17,225,99680256,0.130469,0.637761,18.293958
Pencil,2048,backlog,4096,merged,23,1,225,14745600,0.060730,0.635625,9.678333
Pencil,2048,backlog,4096,contact,23,17,225,99680256,0.130469,0.926042,45.957811
Pencil,2048,backlog,4096,merged,24,1,225,14745600,0.060730,0.542187,9.678489
Pencil,2048,backlog,4096,contact,24,17,225,99680256,0.130469,0.634011,45.951978
Pencil,2048,backlog,4096,simple,24,17,225,99680256,0.130469,0.638542,18.277760
Pencil,2048,backlog,4096,contact,25,17,225,99680256,0.130469,0.623489,45.955207
Pencil,2048,backlog,4096,simple,25,17,225,99680256,0.130469,0.625938,18.291354
Pencil,2048,backlog,4096,merged,25,1,225,14745600,0.060730,0.631146,9.654635
Pencil,2048,backlog,4096,simple,26,17,225,99680256,0.130469,0.642708,18.277500
Pencil,2048,backlog,4096,merged,26,1,225,14745600,0.060730,0.644479,9.672396
Pencil,2048,backlog,4096,contact,26,17,225,99680256,0.130469,0.722656,45.946041
Pencil,2048,backlog,4096,merged,27,1,225,14745600,0.060730,0.753750,9.668229
