brush,diameter,path,length,variant,repeat,contacts,pages,pixel_contact_tests,cpu_prepare_ms,cpu_submit_ms,gpu_ms
GPen,32,straight,512,merged,23,1,3,196608,0.048958,0.374688,0.276771
GPen,32,straight,512,contact,23,90,3,6815744,0.067135,0.371146,7.211823
GPen,32,straight,512,merged,24,1,3,196608,0.048958,0.443177,0.285417
GPen,32,straight,512,contact,24,90,3,6815744,0.067135,0.379063,7.222083
GPen,32,straight,512,simple,24,90,3,6815744,0.067135,0.905208,3.639167
GPen,32,straight,512,contact,25,90,3,6815744,0.067135,0.529167,7.217448
GPen,32,straight,512,simple,25,90,3,6815744,0.067135,0.533073,3.641042
GPen,32,straight,512,merged,25,1,3,196608,0.048958,0.487292,0.290365
GPen,32,straight,512,simple,26,90,3,6815744,0.067135,0.413125,3.676094
GPen,32,straight,512,merged,26,1,3,196608,0.048958,0.499687,0.282760
GPen,32,straight,512,contact,26,90,3,6815744,0.067135,0.386146,7.221719
GPen,32,straight,512,merged,27,1,3,196608,0.048958,0.445468,0.286354
GPen,32,straight,512,contact,27,90,3,6815744,0.067135,0.378073,7.214583
GPen,32,straight,512,simple,27,90,3,6815744,0.067135,0.438855,3.682292
GPen,32,straight,512,contact,28,90,3,6815744,0.067135,0.371875,7.203802
GPen,32,straight,512,simple,28,90,3,6815744,0.067135,0.440364,3.673750
GPen,32,straight,512,merged,28,1,3,196608,0.048958,0.392968,0.280833
GPen,32,straight,512,simple,29,90,3,6815744,0.067135,0.511562,3.669687
GPen,32,straight,512,merged,29,1,3,196608,0.048958,0.371146,0.289583
GPen,32,straight,512,contact,29,90,3,6815744,0.067135,0.377032,7.235364
GPen,32,curve,512,merged,0,27,3,1966080,0.357032,0.666719,1.200104
GPen,32,curve,512,contact,0,103,3,7864320,0.363646,0.644896,8.292916
GPen,32,curve,512,simple,0,103,3,7864320,0.363646,0.449479,4.234323
GPen,32,curve,512,contact,1,103,3,7864320,0.363646,0.669635,8.313385
GPen,32,curve,512,simple,1,103,3,7864320,0.363646,0.578438,4.202396
GPen,32,curve,512,merged,1,27,3,1966080,0.357032,0.413125,1.172500
GPen,32,curve,512,simple,2,103,3,7864320,0.363646,0.410729,4.211094
GPen,32,curve,512,merged,2,27,3,1966080,0.357032,0.612604,1.164948
GPen,32,curve,512,contact,2,103,3,7864320,0.363646,0.390365,8.305781
GPen,32,curve,512,merged,3,27,3,1966080,0.357032,0.456562,1.171042
GPen,32,curve,512,contact,3,103,3,7864320,0.363646,0.378177,8.302708
GPen,32,curve,512,simple,3,103,3,7864320,0.363646,0.508854,4.207708
GPen,32,curve,512,contact,4,103,3,7864320,0.363646,0.440313,8.309166
GPen,32,curve,512,simple,4,103,3,7864320,0.363646,0.537083,4.210000
GPen,32,curve,512,merged,4,27,3,1966080,0.357032,0.455729,1.171771
GPen,32,curve,512,simple,5,103,3,7864320,0.363646,0.400208,4.209219
GPen,32,curve,512,merged,5,27,3,1966080,0.357032,0.386719,1.169115
GPen,32,curve,512,contact,5,103,3,7864320,0.363646,0.540052,8.305208
GPen,32,curve,512,merged,6,27,3,1966080,0.357032,0.524739,1.172292
GPen,32,curve,512,contact,6,103,3,7864320,0.363646,0.420416,8.304583
GPen,32,curve,512,simple,6,103,3,7864320,0.363646,0.529792,4.204687
GPen,32,curve,512,contact,7,103,3,7864320,0.363646,0.504844,8.305312
GPen,32,curve,512,simple,7,103,3,7864320,0.363646,0.517187,4.207292
GPen,32,curve,512,merged,7,27,3,1966080,0.357032,0.445000,1.171302
GPen,32,curve,512,simple,8,103,3,7864320,0.363646,0.443490,4.215312
GPen,32,curve,512,merged,8,27,3,1966080,0.357032,0.379896,1.168177
GPen,32,curve,512,contact,8,103,3,7864320,0.363646,0.364062,8.302344
GPen,32,curve,512,merged,9,27,3,1966080,0.357032,0.520313,1.171927
GPen,32,curve,512,contact,9,103,3,7864320,0.363646,0.410937,8.306458
GPen,32,curve,512,simple,9,103,3,7864320,0.363646,0.686927,4.200469
GPen,32,curve,512,contact,10,103,3,7864320,0.363646,0.517448,8.314844
GPen,32,curve,512,simple,10,103,3,7864320,0.363646,0.614219,4.206823
GPen,32,curve,512,merged,10,27,3,1966080,0.357032,0.514167,1.170260
GPen,32,curve,512,simple,11,103,3,7864320,0.363646,0.552656,4.207031
GPen,32,curve,512,merged,11,27,3,1966080,0.357032,0.494688,1.170625
GPen,32,curve,512,contact,11,103,3,7864320,0.363646,0.502969,8.305937
GPen,32,curve,512,merged,12,27,3,1966080,0.357032,0.505885,1.170937
GPen,32,curve,512,contact,12,103,3,7864320,0.363646,0.405312,8.308281
GPen,32,curve,512,simple,12,103,3,7864320,0.363646,0.606875,4.202083
GPen,32,curve,512,contact,13,103,3,7864320,0.363646,0.520312,8.287812
GPen,32,curve,512,simple,13,103,3,7864320,0.363646,0.516042,4.213021
GPen,32,curve,512,merged,13,27,3,1966080,0.357032,0.501302,1.174115
GPen,32,curve,512,simple,14,103,3,7864320,0.363646,0.398593,4.205000
GPen,32,curve,512,merged,14,27,3,1966080,0.357032,0.503646,1.167760
GPen,32,curve,512,contact,14,103,3,7864320,0.363646,0.499323,8.295937
GPen,32,curve,512,merged,15,27,3,1966080,0.357032,0.504531,1.170312
GPen,32,curve,512,contact,15,103,3,7864320,0.363646,0.483281,8.303281
